# ground truth	trajecto	ry										
# file: 'rgbd_d	ataset_f	reiburg3	_walkin	g_halfsp	here.bag	'						
# timestamp tx	ty tz qx	qy qz q	w									
1341846434.8269	-0.5436	-3.0497	1.5365	-0.7494	-0.0289	0.0358	0.6605					
1341846434.8369	-0.5409	-3.0504	1.5374	-0.7499	-0.0304	0.0351	0.66					
1341846434.8474	-0.5384	-3.0507	1.5388	-0.7492	-0.0306	0.0349	0.6607					
1341846434.8569	-0.5358	-3.0516	1.5395	-0.7499	-0.0333	0.0343	0.6599					
1341846434.8669	-0.5331	-3.0522	1.5404	-0.7493	-0.0355	0.0334	0.6604					
1341846434.8769	-0.5305	-3.0527	1.5411	-0.7494	-0.0379	0.0318	0.6602					
1341846434.8869	-0.5279	-3.0534	1.5418	-0.7498	-0.0414	0.0309	0.6597					
1341846434.8970	-0.5255	-3.0538	1.5425	-0.749	-0.0451	0.0308	0.6603					
1341846434.9069	-0.5230	-3.0546	1.5431	-0.7494	-0.0494	0.0308	0.6596					
1341846434.9182	-0.5208	-3.0553	1.5437	-0.7498	-0.0543	0.0316	0.6587					
1341846434.9269	-0.5181	-3.0559	1.5444	-0.7498	-0.0592	0.0326	0.6582					
1341846434.9369	-0.5158	-3.0570	1.5446	-0.7508	-0.0641	0.0342	0.6565					
1341846434.9470	-0.5131	-3.0579	1.5453	-0.7512	-0.068	0.0361	0.6556					
1341846434.9569	-0.5103	-3.0582	1.5464	-0.7506	-0.0706	0.0371	0.656					
1341846434.9670	-0.5077	-3.0589	1.5473	-0.7496	-0.0724	0.0388	0.6567					
1341846434.9770	-0.5053	-3.0594	1.5483	-0.7494	-0.0731	0.0405	0.6569					
1341846434.9869	-0.5027	-3.0599	1.5491	-0.7495	-0.0746	0.0416	0.6565					
1341846434.9976	-0.5000	-3.0606	1.55	-0.7497	-0.0764	0.0431	0.6559					
1341846435.0070	-0.4974	-3.0615	1.5509	-0.7494	-0.0773	0.0445	0.6561					
1341846435.0178	-0.4944	-3.0623	1.5518	-0.7499	-0.079	0.046	0.6552					
1341846435.0269	-0.4916	-3.0625	1.5528	-0.7487	-0.0785	0.047	0.6565					
1341846435.0370	-0.4888	-3.0628	1.5539	-0.7479	-0.0783	0.0478	0.6574					
1341846435.0472	-0.4856	-3.0639	1.5548	-0.7484	-0.0794	0.0479	0.6568					
1341846435.0570	-0.4828	-3.0641	1.5559	-0.7477	-0.0789	0.0477	0.6576					
1341846435.0669	-0.4799	-3.0644	1.5569	-0.7468	-0.0776	0.0471	0.6588					
1341846435.0796	-0.4768	-3.0651	1.5579	-0.7472	-0.0782	0.0471	0.6583					
1341846435.0878	-0.4739	-3.0654	1.5589	-0.7471	-0.0776	0.0466	0.6586					
1341846435.0969	-0.4708	-3.0653	1.5602	-0.7456	-0.0773	0.0459	0.6603					
1341846435.1069	-0.4681	-3.0653	1.5611	-0.7441	-0.0763	0.0459	0.6621					
1341846435.1207	-0.4648	-3.0654	1.5622	-0.7436	-0.0776	0.0449	0.6626					
1341846435.1269	-0.4621	-3.0658	1.563	-0.7432	-0.0772	0.0464	0.663					
1341846435.1369	-0.4593	-3.0659	1.5638	-0.7427	-0.0771	0.0469	0.6636					
1341846435.1472	-0.4565	-3.0659	1.5647	-0.7419	-0.0775	0.048	0.6643					
1341846435.1569	-0.4537	-3.0666	1.5652	-0.7432	-0.0786	0.0492	0.6627					
1341846435.1670	-0.4510	-3.0665	1.566	-0.7425	-0.0788	0.0508	0.6632					
1341846435.1808	-0.4483	-3.0664	1.5667	-0.7423	-0.0798	0.0519	0.6633					
1341846435.1869	-0.4457	-3.0664	1.5678	-0.7415	-0.08	0.0547	0.6639					
1341846435.1969	-0.4426	-3.0663	1.569	-0.7412	-0.0808	0.057	0.664					
1341846435.2069	-0.4398	-3.0660	1.57	-0.7406	-0.0802	0.0591	0.6646					
1341846435.2171	-0.4371	-3.0657	1.5709	-0.7398	-0.0797	0.0612	0.6653					
1341846435.2269	-0.4344	-3.0657	1.5717	-0.7394	-0.0798	0.0639	0.6655					
1341846435.2369	-0.4319	-3.0652	1.5726	-0.7378	-0.0791	0.0659	0.6671					
1341846435.2470	-0.4291	-3.0647	1.5739	-0.7368	-0.0787	0.0689	0.6679					
1341846435.2569	-0.4266	-3.0643	1.5746	-0.7362	-0.0801	0.0718	0.6682					
1341846435.2670	-0.4238	-3.0645	1.5752	-0.7368	-0.083	0.0742	0.6669					
1341846435.2789	-0.4215	-3.0643	1.5761	-0.7369	-0.0849	0.0762	0.6664					
1341846435.2869	-0.4187	-3.0646	1.5768	-0.7378	-0.0885	0.0786	0.6645					
1341846435.2969	-0.4161	-3.0639	1.578	-0.7356	-0.0884	0.08	0.6668					
1341846435.3069	-0.4136	-3.0637	1.5787	-0.7359	-0.0899	0.0813	0.6662					
1341846435.3213	-0.4112	-3.0633	1.5792	-0.736	-0.0908	0.0841	0.6656					
1341846435.3270	-0.4087	-3.0631	1.5798	-0.7374	-0.0917	0.086	0.6636					
1341846435.3370	-0.4062	-3.0628	1.58	-0.738	-0.0932	0.0867	0.6627					
1341846435.3469	-0.4034	-3.0625	1.5808	-0.7388	-0.0936	0.0877	0.6616					
1341846435.3611	-0.4007	-3.0623	1.5818	-0.7389	-0.094	0.0891	0.6613					
1341846435.3669	-0.3978	-3.0619	1.583	-0.7377	-0.0926	0.0917	0.6624					
1341846435.3769	-0.3952	-3.0616	1.5838	-0.7377	-0.0923	0.0929	0.6624					
1341846435.3869	-0.3925	-3.0612	1.5846	-0.7372	-0.0923	0.0932	0.6629					
1341846435.3970	-0.3898	-3.0611	1.5855	-0.7364	-0.0917	0.0935	0.6637					
1341846435.4069	-0.3872	-3.0608	1.5862	-0.7358	-0.093	0.0958	0.664					
1341846435.4169	-0.3845	-3.0605	1.587	-0.7349	-0.0935	0.0973	0.6647					
1341846435.4274	-0.3819	-3.0603	1.5877	-0.7337	-0.0943	0.0988	0.6656					
1341846435.4369	-0.3792	-3.0602	1.5884	-0.7329	-0.0951	0.1004	0.6661					
1341846435.4470	-0.3762	-3.0598	1.5886	-0.7325	-0.0955	0.1016	0.6663					
1341846435.4571	-0.3732	-3.0597	1.589	-0.7328	-0.0961	0.1026	0.6657					
1341846435.4669	-0.3702	-3.0594	1.5894	-0.7329	-0.0962	0.1027	0.6656					
1341846435.4770	-0.3673	-3.0591	1.5899	-0.7323	-0.0959	0.1025	0.6664					
